Page,Component,Ref,English,Spanish,French,Hindi
Edit Profile,,about,About,Sobre,À propos de,के बारे में
Edit Profile,,tell_us_about,Tell us about yourself...,Cuéntanos acerca de tí...,Parlez nous de vous...,आप अपने बारे में बताओ...
Edit Profile,,drop_files,Drop the files here...,Deje caer los archivos aquí ...,Déposez les fichiers ici ...,फ़ाइलों को यहाँ छोड़ें ...
Edit Profile,,drag_files,Drag and drop some files here,Arrastre y suelte algunos archivos aquí,Faites glisser et déposez des fichiers ici,कुछ फ़ाइलों को यहां खींचें और ड्रॉप करें
Edit Profile,,profile_photo,Profile Photo,Foto de perfil,Photo de profil,प्रोफ़ाइल तस्वीर
Edit Profile,,update,Update,Actualizar,Mise à jour,अद्यतन
Edit Profile,,cancel,Cancel,Cancelar,Annuler,रद्द करना
Edit Profile,,loading,Loading...,Cargando...,Chargement...,लोड हो रहा है...
Edit Profile,,couldnt_update_profile,We couldn't update your profile at this time,No pudimos actualizar su perfil en este momento,Nous n'avons pas pu mettre à jour votre profil pour le moment,हम इस समय आपकी प्रोफ़ाइल को अपडेट नहीं कर सकते
Edit Profile,,file_aborted,File reading was aborted,La lectura de archivos fue abortada,La lecture de fichiers a été avortée,फ़ाइल पढ़ना निरस्त कर दिया गया था
Edit Profile,,file_failed,Failed to read the file,No se pudo leer el archivo,Échec de la lecture du fichier,फ़ाइल पढ़ने में विफल
Edit Profile,,format_not_accepted,This file format is not accepted,Este formato de archivo no es aceptado,Ce format de fichier n'est pas accepté,यह फ़ाइल प्रारूप स्वीकार नहीं किया गया है
Edit Profile,,too_large,This file is too large,Este archivo es demasiado grande,Ce fichier est trop grand,यह फ़ाइल बहुत बड़ी है
Edit Profile,,fill_out_about,Please fill out your about section,Por favor complete su sección Acerca de,Veuillez remplir votre section à propos,कृपया अपना खंड भरें
Edit Profile,,,,,,
Index Profile,,joined,Joined,Unido,Joint,में शामिल हो गए
Index Profile,,,,,,
Project Create/Edit,Create,could_not_create,We couldn't create your project at this time,No pudimos crear su proyecto en este momento,Nous ne pouvions pas créer votre projet pour le moment,हम इस समय आपकी परियोजना नहीं बना सके
Project Create/Edit,,file_abort,File reading was aborted,La lectura de archivos fue abortada,La lecture de fichiers a été avortée,फ़ाइल पढ़ना निरस्त कर दिया गया था
Project Create/Edit,,file_failed,Failed to read the file,No se pudo leer el archivo,Échec de la lecture du fichier,फ़ाइल पढ़ने में विफल
Project Create/Edit,,file_format_not_accepted,This file format is not accepted,Este formato de archivo no es aceptado,Ce format de fichier n'est pas accepté,यह फ़ाइल प्रारूप स्वीकार नहीं किया गया है
Project Create/Edit,,file_too_large,This file is too large,Este archivo es demasiado grande,Ce fichier est trop grand,यह फ़ाइल बहुत बड़ी है
Project Create/Edit,,error_title,Please fill out your project title,Complete el título de su proyecto,Veuillez remplir le titre de votre projet,कृपया अपना प्रोजेक्ट शीर्षक भरें
Project Create/Edit,,error_start_date,Please set a valid start date,Establezca una fecha de inicio válida,Veuillez définir une date de début valide,कृपया एक वैध प्रारंभ तिथि निर्धारित करें
Project Create/Edit,,error_end_date,Please set a valid end date,Establezca una fecha de finalización válida,Veuillez définir une date de fin valide,कृपया एक वैध अंत तिथि निर्धारित करें
Project Create/Edit,,error_dates,End date must come after the start date,La fecha de finalización debe llegar después de la fecha de inicio,La date de fin doit venir après la date de début,अंतिम तिथि शुरू होने की तारीख के बाद आना चाहिए
Project Create/Edit,,error_abstract,Please provide a brief overview of your project (or what you plan to complete for your project),Proporcione una breve descripción general de su proyecto (o lo que planea completar para su proyecto),Veuillez fournir un bref aperçu de votre projet (ou de ce que vous prévoyez de terminer pour votre projet),कृपया अपनी परियोजना का एक संक्षिप्त अवलोकन प्रदान करें (या आप अपनी परियोजना के लिए क्या पूरा करने की योजना बना रहे हैं)
Project Create/Edit,,error_email,Please enter a valid email,Por favor introduzca una dirección de correo electrónico válida,Veuillez saisir un e-mail valide,कृपया एक मान्य ईमेल पता प्रवेश करें
Project Create/Edit,,could_not_find_email,We could not find that address,No pudimos encontrar esa dirección,Nous n'avons pas pu trouver cette adresse,हमें वह पता नहीं मिला
Project Create/Edit,,create_project,Create a Project,Crea un proyecto,Créer un projet,एक प्रोजेक्ट बनाएं
Project Create/Edit,,why_create_project,Create a project to share your work and gain feedback from your peers and professional mentors.,Cree un proyecto para compartir su trabajo y obtener comentarios de sus compañeros y mentores profesionales.,Créez un projet pour partager votre travail et obtenir des commentaires de vos pairs et mentors professionnels.,अपने काम को साझा करने और अपने साथियों और पेशेवर आकाओं से प्रतिक्रिया प्राप्त करने के लिए एक परियोजना बनाएं।
Project Create/Edit,,title,Title,Título,Titre,शीर्षक
Project Create/Edit,,start_date,Start Date,Fecha de inicio,Date de début,आरंभ करने की तिथि
Project Create/Edit,,not_required,Not Required,No requerido,Non requis,आवश्यक नहीं
Project Create/Edit,,end_date,End Date,Fecha final,Date de fin,अंतिम तिथि
Project Create/Edit,,summary,Summary,Resumen,Sommaire,सारांश
Project Create/Edit,,add_members,Add Members,Añadir miembros,Ajouter des membres,सदस्य जोड़ें
Project Create/Edit,,fields,Fields,Campos,Des champs,खेत
Project Create/Edit,,drop_files,Drop the files here...,Deje caer los archivos aquí ...,Déposez les fichiers ici ...,फ़ाइलों को यहाँ छोड़ें ...
Project Create/Edit,,drag_files,Drag and drop some files here,Arrastre y suelte algunos archivos aquí,Faites glisser et déposez des fichiers ici,कुछ फ़ाइलों को यहां खींचें और ड्रॉप करें
Project Create/Edit,,suggest_photo,It's suggested that you have at least one photo for display purposes,Se sugiere que tenga al menos una foto para fines de pantalla,Il est suggéré que vous ayez au moins une photo à des fins d'affichage,यह सुझाव दिया गया है कि आपके पास प्रदर्शन उद्देश्यों के लिए कम से कम एक फोटो है
Project Create/Edit,,multiple_photos,"Since you have more than one photo, you can","Como tienes más de una foto, puedes","Puisque vous avez plus d'une photo, vous pouvez","चूंकि आपके पास एक से अधिक फोटो हैं, आप कर सकते हैं"
Project Create/Edit,,set_display_photo,change your display photo,Cambia tu foto de pantalla,Changez votre photo d'affichage,अपना डिस्प्ले फोटो बदलें
Project Create/Edit,,display_photo,Display Photo,Foto,Photo d'affichage,प्रदर्शन फ़ोटो
Project Create/Edit,,other_photo,Other Photo,Otra foto,Autre photo,अन्य फोटो
Project Create/Edit,,create,Create,Crear,Créer,सृजन करना
Project Create/Edit,Edit,update_project,Update your Project,Actualiza tu proyecto,Mettez à jour votre projet,अपनी परियोजना को अपडेट करें
Project Create/Edit,,why_update_project,"Here, you can update your project","Aquí, puede actualizar su proyecto","Ici, vous pouvez mettre à jour votre projet","यहां, आप अपनी परियोजना को अपडेट कर सकते हैं"
Project Create/Edit,,update,Update,Actualizar,Mise à jour,अद्यतन
Project Create/Edit,,cancel,Cancel,Cancelar,Annuler,रद्द करना
Project Create/Edit,,could_not_update,We could not update your project at this time,No pudimos actualizar su proyecto en este momento,Nous n'avons pas pu mettre à jour votre projet pour le moment,हम इस समय आपकी परियोजना को अपडेट नहीं कर सके
Auth,Sign in Educator,auth_invalid_email,"Email address or password is invalid (if logging in with Gmail, try using the button below)","La dirección de correo electrónico o la contraseña no son válidas (si inicia sesión con Gmail, intente usar el botón a continuación)","L'adresse e-mail ou le mot de passe n'est pas valide (si vous vous connectez avec Gmail, essayez d'utiliser le bouton ci-dessous)","ईमेल पता या पासवर्ड अमान्य है (यदि Gmail के साथ लॉग इन करना, नीचे दिए गए बटन का उपयोग करने का प्रयास करें)"
Auth,,auth_user_disabled,The account corresponding to this email has been disabled,La cuenta correspondiente a este correo electrónico ha sido deshabilitado,Le compte correspondant à cet e-mail a été désactivé,इस ईमेल के अनुरूप खाता अक्षम कर दिया गया है
Auth,,auth_user_not_found,There is no account associated with this email,No hay una cuenta asociada con este correo electrónico,Il n'y a aucun compte associé à cet e-mail,इस ईमेल से जुड़ा कोई खाता नहीं है
Auth,,auth_wrong_password,"Email address or password is invalid (if logging in with Gmail, try using the button below)","La dirección de correo electrónico o la contraseña no son válidas (si inicia sesión con Gmail, intente usar el botón a continuación)","L'adresse e-mail ou le mot de passe n'est pas valide (si vous vous connectez avec Gmail, essayez d'utiliser le bouton ci-dessous)","ईमेल पता या पासवर्ड अमान्य है (यदि Gmail के साथ लॉग इन करना, नीचे दिए गए बटन का उपयोग करने का प्रयास करें)"
Auth,,please_verify,Please verify your email before signing in,Verifique su correo electrónico antes de iniciar sesión,Veuillez vérifier votre e-mail avant de vous connecter,कृपया साइन इन करने से पहले अपना ईमेल सत्यापित करें
Auth,,auth_email_in_use,This email is already in use,Este correo electrónico ya está en uso,Cet e-mail est déjà utilisée,यह ईमेल पहले से प्रयोग में है
Auth,,auth_weak_password,The password provided is weak,La contraseña proporcionada es débil,Le mot de passe fourni est faible,प्रदान किया गया पासवर्ड कमजोर है
Auth,,valid_email,Please input a valid email,Ingrese un correo electrónico válido,Veuillez saisir un e-mail valide,कृपया एक मान्य ईमेल इनपुट करें
Auth,,password_whitespace,Password must not contain Whitespaces,La contraseña no debe contener espacios en blanco,Le mot de passe ne doit pas contenir des espaces blancs,पासवर्ड में व्हाट्सएप नहीं होना चाहिए
Auth,,password_uppercase,Password must have at least one Uppercase Character,La contraseña debe tener al menos un carácter mayúscula,Le mot de passe doit avoir au moins un caractère majuscule,पासवर्ड में कम से कम एक अपरकेस चरित्र होना चाहिए
Auth,,password_lowercase,Password must have at least one Lowercase Character,La contraseña debe tener al menos un personaje en minúscula,Le mot de passe doit avoir au moins un caractère minuscule,पासवर्ड में कम से कम एक लोअरकेस वर्ण होना चाहिए
Auth,,password_digit,Password must contain at least one Digit,La contraseña debe contener al menos un dígito,Le mot de passe doit contenir au moins un chiffre,पासवर्ड में कम से कम एक अंक होना चाहिए
Auth,,password_symbol,Password must contain at least one Special Symbol,La contraseña debe contener al menos un símbolo especial,Le mot de passe doit contenir au moins un symbole spécial,पासवर्ड में कम से कम एक विशेष प्रतीक होना चाहिए
Auth,,password_length,Password must be 8-100 Characters Long.,La contraseña debe tener 8-100 caracteres.,Le mot de passe doit comporter 8 à 100 caractères.,पासवर्ड 8-100 वर्ण लंबा होना चाहिए।
Auth,,educator_sign_in,Educator Sign In,Iniciar sesión en el educador,Enseignant Connectez-vous,शिक्षकों की चिन्ह
Auth,,why_educator_sign_in,Sign in now to empower the next generation of young scientists. Are you a student?,Inicie sesión ahora para empoderar a la próxima generación de jóvenes científicos. ¿Eres estudiante?,Connectez-vous maintenant pour autonomiser la prochaine génération de jeunes scientifiques. Êtes-vous un étudiant?,युवा वैज्ञानिकों की अगली पीढ़ी को सशक्त बनाने के लिए अभी साइन इन करें। क्या आप स्कूल में पढ़ते हैं?
Auth,,sign_in_here,Sign in here.,Firme aquí.,Se connecter ici.,यहां साइन इन करो।
Auth,,email,Email,Correo electrónico,E-mail,ईमेल
Auth,,password,Password,Clave,Mot de passe,पासवर्ड
Auth,,sign_in,Sign In,Registrarse,S'identifier,साइन इन करें
Auth,,new_here,New Here?,¿Nuevo aquí?,Nouveau ici?,यहाँ नये?
Auth,,sign_up,Sign Up,Inscribirse,S'inscrire,साइन अप करें
Auth,,,,,,
Auth,Reset Password,reset_password,Reset Password,Restablecer la contraseña,réinitialiser le mot de passe,पासवर्ड रीसेट
Auth,,why_reset_password,"Forgot your password? No worries! Submit your email below, and we’ll send you a reset link.",¿Olvidaste tu contraseña? ¡Sin preocupaciones! Envíe su correo electrónico a continuación y le enviaremos un enlace de reinicio.,Mot de passe oublié? Pas de soucis! Soumettez votre e-mail ci-dessous et nous vous enverrons un lien de réinitialisation.,"पासवर्ड भूल गए हैं? चिंता न करें! नीचे अपना ईमेल सबमिट करें, और हम आपको एक रीसेट लिंक भेजेंगे।"
Auth,,,,,,
Auth,Reset Sent,reset_message,We just sent you a link to reset your password. Be sure to check your spam for this email as well.,Acabamos de enviarle un enlace para restablecer su contraseña. Asegúrese de consultar su spam para este correo electrónico también.,Nous venons de vous envoyer un lien pour réinitialiser votre mot de passe. Assurez-vous également de vérifier votre spam pour cet e-mail.,हमने आपको अपना पासवर्ड रीसेट करने के लिए एक लिंक भेजा है। इस ईमेल के लिए भी अपने स्पैम की जांच करना सुनिश्चित करें।
Auth,,go_home,Go Home,Vete a casa,Rentrer chez soi,घर जाओ
Auth,,,,,,
Auth,Sign in Student,student_sign_in,Student Sign In,Estudiante Iniciar sesión en,Connexion de l'étudiant,छात्र साइन इन करें
Auth,,why_student_sign_in,"Having an account allows you to share your projects, find events tailored to your interests, and receive mentorship. Are you an educator?","Tener una cuenta le permite compartir sus proyectos, encontrar eventos adaptados a sus intereses y recibir tutoría. ¿Eres educador?","Avoir un compte vous permet de partager vos projets, de trouver des événements adaptés à vos intérêts et de recevoir du mentorat. Êtes-vous un éducateur?","एक खाता होने से आप अपनी परियोजनाओं को साझा कर सकते हैं, अपने हितों के अनुरूप घटनाओं को खोज सकते हैं, और मेंटरशिप प्राप्त कर सकते हैं। क्या आप एक शिक्षक हैं?"
Auth,,or,OR,O,OU,या
Auth,,google_sign_in,Sign in with Google,Inicia sesión con Google,Connectez-vous avec Google,Google के साथ साइन इन करें
Auth,,,,#VALUE!,#VALUE!,#VALUE!
Auth,Sign up Educator,educate_on_sciteens,Educate on SciTeens,Educar en Sciteens,Éduquer sur les sciteens,स्काईटेंस पर शिक्षित करें
Auth,,why_educate_on_sciteens,Empower the next generation of STEM leaders from across the globe.,Empoderar a la próxima generación de líderes STEM de todo el mundo.,Autonomiser la prochaine génération de leaders STEM du monde entier.,दुनिया भर से एसटीईएम नेताओं की अगली पीढ़ी को सशक्त बनाएं।
Auth,,first_name,First Name,Primer nombre,Prénom,पहला नाम
Auth,,last_name,Last Name,Apellido,Nom de famille,उपनाम
Auth,,institution,Institution,Institución,Institution,संस्थान
Auth,,position,I am a(n),Yo soy un),Je suis un),मै एक)
Auth,,educator,Educator,Educador,Éducateur,शिक्षक
Auth,,professional,Professional,Profesional,Professionnelle,पेशेवर
Auth,,researcher,Researcher,Investigador,Chercheur,शोधकर्ता
Auth,,prefer_not_answer,Prefer not to answer,Prefiero no responder,préfère ne pas répondre,जवाब नहीं देना पसंद
Auth,,gender,Gender,Género,Le genre,लिंग
Auth,,male,Male,Masculino,Homme,पुरुष
Auth,,female,Female,Femenino,Femelle,मादा
Auth,,other,Other,Otro,Autre,अन्य
Auth,,race,Race,La raza,Course,जाति
Auth,,american_indian,American Indian or Alaska Native,Indio americano o nativo de Alaska,Indien d'Amérique ou d'Alaska,भारतीय अमेरिकन या अलास्का का मूल निवासी
Auth,,asian,Asian (including Indian subcontinent and Philipipines origin),Asiático (incluido el subcontinente indio y el origen de Philipipines),Asiatique (y compris le sous-continent indien et l'origine des Philipines),एशियाई (भारतीय उपमहाद्वीप और फिलिपिपाइंस मूल सहित)
Auth,,black,Black or African American,Negro o afroamericano,Noir ou afro-américain,अश्वेत या अफ्रीकी अमेरिकी
Auth,,hispanic,Hispanic or Latino,hispano o latino,Hispanique ou Latino,हिस्पैनिक या लैटिनो
Auth,,white,White (including Middle Eastern origin),Blanco (incluido el origen del Medio Oriente),Blanc (y compris d'origine du Moyen-Orient),सफेद (मध्य पूर्वी मूल सहित)
Auth,,native_hawaiian,Native Hawaiian or Other Pacific Islander,Nativo de Hawai u otra isla del Pacífico,Hawaïen indigène ou autre insulaire du Pacifique,मूल हवाई निवासी तथा अन्य प्रशांत द्वीप वासी
Auth,,terms,I have read and accept the ,He leído y acepto la,J'ai lu et accepte le,मैंने पढ़ा है और स्वीकार किया है
Auth,,terms_link,terms and privacy,Términos y privacidad,Termes et confidentialité,शर्तें और गोपनीयता
Auth,,create_account,Create Account,Crear una cuenta,Créer un compte,खाता बनाएं
Auth,,have_account,Have an account?,¿Tener una cuenta?,Avoir un compte?,एक खाता है?
Auth,,sign_in_link,Sign in,Iniciar sesión,S'identifier,साइन इन करें
Auth,Finish Sign Up,finish_signup,Just a few more things,Solo algunas cosas más,Juste quelques choses supplémentaires,बस कुछ और चीजें
Auth,,why_finish_signup,"Before you can get started on SciTeens, please fill out a few more things about yourself.","Antes de que pueda comenzar en Sciteens, complete algunas cosas más sobre usted.","Avant de pouvoir commencer sur Sciteens, veuillez remplir quelques autres choses sur vous-même.","इससे पहले कि आप स्काईन्स पर आरंभ कर सकें, कृपया अपने बारे में कुछ और चीजें भरें।"
Auth,,birthday,Birthday,Cumpleaños,Date d'anniversaire,जन्मदिन
Auth,,birthday_info,Your date of birth. You must be 13 years of age or older to use SciTeens,Tu fecha de nacimiento. Debe tener 13 años de edad o más para usar Sciteens,Votre date de naissance. Vous devez avoir 13 ans ou plus pour utiliser des sciteens,तुम्हारी जन्म तारीख। स्काइटेंस का उपयोग करने के लिए आपकी आयु 13 वर्ष या उससे अधिक होनी चाहिए
Auth,,finish ,Finish,Finalizar,Finir,खत्म करना
Auth,Index,i_am_a,I am a(n),Yo soy un),Je suis un),मै एक)
Auth,,student,Student,Alumno,Étudiant,विद्यार्थी
Auth,,student_info,Sign up as a student if you are currently in high school or between the ages of 13 and 18.,Regístrese como estudiante si actualmente se encuentra en la escuela secundaria o entre las edades de 13 y 18 años.,Inscrivez-vous en tant qu'étudiant si vous êtes actuellement au lycée ou entre 13 et 18 ans.,एक छात्र के रूप में साइन अप करें यदि आप वर्तमान में हाई स्कूल में हैं या 13 से 18 वर्ष की आयु के बीच हैं।
Auth,,educator,Educator,Educador,Éducateur,शिक्षक
Auth,,educator_info,"Sign up as an educator if you are in academia or industry, and want to help STEM high school students.","Regístrese como educador si está en la academia o la industria, y desea ayudar a Stem High School Students.",Inscrivez-vous en tant qu'éducateur si vous êtes dans le monde universitaire ou dans l'industrie et souhaitez aider les élèves du secondaire.,"यदि आप अकादमिया या उद्योग में हैं, तो एक शिक्षक के रूप में साइन अप करें, और एसटीईएम हाई स्कूल के छात्रों की मदद करना चाहते हैं।"
Auth,,and_other_options,(And other options...),(Y otras opciones ...),(Et d'autres options ...),(और अन्य विकल्प ...)
Auth,,neither_of_above,Neither of the above?,¿Ninguno de los anteriores?,Aucun de ce qui précède?,उपरोक्त में से कोई नहीं?
Auth,,involved_link,See how you can get involved,Vea cómo puede involucrarse,Voyez comment vous pouvez vous impliquer,देखें कि आप कैसे शामिल हो सकते हैं
Auth,,,,,,
Auth,Thanks,thanks_for_signing_up,Thanks for signing up!,Gracias por registrarte!,Merci pour votre inscription!,साइन अप करने के लिए धन्यवाद!
Auth,,send_confirmation,"We'll send you a confirmation email shortly; be sure to verify your email to post projects and send/receive feedback! In the mean time, feel free to check out some of our latest","Le enviaremos un correo electrónico de confirmación en breve; ¡Asegúrese de verificar su correo electrónico para publicar proyectos y enviar/recibir comentarios! Mientras tanto, siéntase libre de ver algunos de nuestros últimos","Nous vous enverrons un e-mail de confirmation sous peu; Assurez-vous de vérifier votre e-mail pour publier des projets et d'envoyer / recevoir des commentaires! En attendant, n'hésitez pas à consulter certains de nos derniers","हम आपको जल्द ही एक पुष्टिकरण ईमेल भेजेंगे; परियोजनाओं को पोस्ट करने के लिए अपने ईमेल को सत्यापित करना सुनिश्चित करें और प्रतिक्रिया भेजें/प्राप्त करें! इस समय में, हमारे कुछ नवीनतम की जांच करने के लिए स्वतंत्र महसूस करें"
Auth,,articles,articles,artículos,des articles,सामग्री
Auth,,or,or,o,ou,या
Auth,,projects,projects,proyectos,projets,परियोजनाओं
Auth,,for_inspiration,"for some inspiration, and feel free to follow us on our social media platforms to stay up-to-date with SciTeens news!","¡Para obtener algo de inspiración, y no dude en seguirnos en nuestras plataformas de redes sociales para mantenerse al día con Sciteens News!","Pour une inspiration, et n'hésitez pas à nous suivre sur nos plateformes de médias sociaux pour rester à jour avec Sciteens News!","कुछ प्रेरणा के लिए, और स्काईन्स न्यूज के साथ अद्यतित रहने के लिए हमारे सोशल मीडिया प्लेटफार्मों पर हमें पालन करने के लिए स्वतंत्र महसूस करें!"
Auth,,,,,,
Auth,Student Sign Up,student_sign_up,Student Sign-up,Estudiante Registro,Inscription des étudiants,छात्र साइन-अप
Auth,,why_student_sign_up,"Creating an account allows you to share your projects, find events tailored to your interests, and receive mentorship.","Crear una cuenta le permite compartir sus proyectos, encontrar eventos adaptados a sus intereses y recibir tutoría.","La création d'un compte vous permet de partager vos projets, de trouver des événements adaptés à vos intérêts et de recevoir du mentorat.","खाता बनाने से आप अपनी परियोजनाओं को साझा कर सकते हैं, अपने हितों के अनुरूप घटनाओं को खोज सकते हैं, और मेंटरशिप प्राप्त कर सकते हैं।"
Auth,,,,,,
Auth,Misc,sign_in_failed,Sign in failed. Please try again or create an account.,Fallo al iniciar sesion. Vuelva a intentarlo o cree una cuenta.,La connexion a échoué. Veuillez réessayer ou créer un compte.,भाग लेना विफल हुआ। कृपया फिर से प्रयास करें या एक खाता बनाएं।
Auth,,error_terms,You must accept the terms and conditions,Debe aceptar los Términos y Condiciones,Vous devez accepter les Termes et Conditions,आपको नियम व शर्तें स्वीकार करना होंगी
Auth,,unable_to_create,"Sorry, we were unable to create your account.","Lo siento, no pudimos crear su cuenta.","Désolé, nous n'avons pas pu créer votre compte.","क्षमा करें, हम आपका खाता बनाने में असमर्थ थे।"
Auth,,error_name,Please use a valid name,Utilice un nombre válido,Veuillez utiliser un nom valide,कृपया एक वैध नाम का उपयोग करें
Auth,,error_first_name,Please only enter your first name (or connect it with hyphens),Solo ingrese su nombre (o conéctelo con guiones),Veuillez entrer uniquement votre prénom (ou le connecter avec des traits de traits),कृपया केवल अपना पहला नाम दर्ज करें (या इसे हाइफ़न से कनेक्ट करें)
Auth,,error_last_name,Please only enter your last name (or connect it with hyphens),Solo ingrese su apellido (o conéctelo con guiones),Veuillez entrer uniquement votre nom de famille (ou le connecter avec des traits de traits),कृपया केवल अपना अंतिम नाम दर्ज करें (या इसे हाइफ़न से कनेक्ट करें)
Auth,,valid_institution,Please provide a valid institution,Proporcione una institución válida,Veuillez fournir une institution valide,कृपया एक वैध संस्थान प्रदान करें
Auth,,error_birthday,You must be 13 years old or older to use SciTeens,Debes tener 13 años o más para usar Sciteens,Vous devez avoir 13 ans ou plus pour utiliser des sciteens,स्काइटेंस का उपयोग करने के लिए आपकी उम्र 13 वर्ष या उससे अधिक होनी चाहिए
Auth,,,,,,
Auth,,,,,,
404,,sorry,"404 - Sorry, we couldn't find that","404 - Lo siento, no pudimos encontrar eso","404 - Désolé, nous n'avons pas pu trouver ça","404 - क्षमा करें, हम यह नहीं पा सके"
404,,cool_video,Here's a cool video to watch instead,Aquí hay un video genial para ver en su lugar,Voici une vidéo cool à regarder à la place,इसके बजाय एक अच्छा वीडियो देखने के लिए है
404,,,,,,
About,,on_a_mission,We're on a mission.,Estamos en una misión.,Nous sommes en mission.,हम एक मिशन पर हैं।
About,,we_strive,"We strive to bridge the gap between education and opportunity, particularly for students from low-resource areas who do not have an extensive STEM support network.","Nos esforzamos por cerrar la brecha entre la educación y la oportunidad, particularmente para los estudiantes de áreas de baja recursos que no tienen una red extensa de apoyo STEM.","Nous nous efforçons de combler le fossé entre l'éducation et les opportunités, en particulier pour les étudiants des zones à faibles ressources qui n'ont pas un vaste réseau de soutien aux STEM.","हम शिक्षा और अवसर के बीच की खाई को पाटने का प्रयास करते हैं, विशेष रूप से कम-संसाधन वाले क्षेत्रों के छात्रों के लिए जिनके पास व्यापक एसटीईएम समर्थन नेटवर्क नहीं है।"
About,,get_to_know_us,Get to know us.,Conocernos.,Apprendre a nous connaitre.,हमारे बारे में जानिए।
About,,about_sri,Sri has a golden retriever and can talk with her mouth closed.,Sri tiene un golden retriever y puede hablar con la boca cerrada.,Sri a un golden retriever et peut parler avec sa bouche fermée.,श्री के पास एक गोल्डन रिट्रीवर है और वह अपने मुंह से बंद होने के साथ बात कर सकता है।
About,,about_rohan,Rohan is an amateur photographer and that typical anime watching kid.,Rohan es un fotógrafo aficionado y ese típico niño de anime.,Rohan est un photographe amateur et cet gamin typique de l'anime.,रोहन एक शौकिया फोटोग्राफर है और वह ठेठ एनीमे बच्चे को देख रहा है।
About,,about_aneesha,Aneesha attends the University of Florida and she can do a cartwheel.,Aneesha asiste a la Universidad de Florida y ella puede hacer una voltereta.,Aneesha fréquente l'Université de Floride et elle peut faire une roue de charrette.,अनीशा फ्लोरिडा विश्वविद्यालय में भाग लेती है और वह एक कार्टव्हील कर सकती है।
About,,about_eduard,Eduard wants to create a robot that would conquer the world.,Eduard quiere crear un robot que conquista el mundo.,Eduard veut créer un robot qui vaincrait le monde.,एडुआर्ड एक रोबोट बनाना चाहता है जो दुनिया को जीत ले।
